Country/Region,unit,2016,2017,2018,2019,2020,2021
China,MtCO2e,9224.56,9445.91,9852.83,10057.12,9968.894962,10241.31266
United States,MtCO2e,4662.71,4587.55,4743.58,4585.99,4698.5484,4880.304618
India,MtCO2e,2160.98,2286.13,2417.66,2422.03,2509.67,2650.19
Indonesia,MtCO2e,1055.63,1065.51,1263.43,1475.21,1369.559905,1987.130274
Russia,MtCO2e,1012.49,1035.6,1102.5,1145.09,1215.497059,1180.324118
Japan,MtCO2e,1135.73,1123.17,1084.08,1049.5,982.56,925.19
Brazil,MtCO2e,831.37,840.8,818.3,818.6,839.732673,858.008874
Iran,MtCO2e,607.27,626.48,637.48,630.07,638.590844,653.656829
Germany,MtCO2e,717.68,702.73,678.22,627.92,633.8,578.91
Canada,MtCO2e,591.93,603.22,615.36,615.48,559.064118,494.678235
Democratic Republic of the Congo,MtCO2e,603.79,604.22,604.49,604.58,604.749999,604.749998
South Korea,MtCO2e,570.08,580.83,584.84,564.99,576.22,587.94
Saudi Arabia,MtCO2e,561.23,545.07,521.26,523.78,546.372647,553.792859
Mexico,MtCO2e,487.76,486.03,467.01,463.71,477.358631,492.040793
South Africa,MtCO2e,431.69,442.21,440.9,446.19,457.971636,469.153781
Australia,MtCO2e,387.18,391.35,389.25,388.71,376.956741,382.676712
Türkiye,MtCO2e,345.94,387.25,383.08,368.19,352.467451,353.097451
United Kingdom,MtCO2e,369.85,356.04,349.78,337.96,344.187344,311.242742
Malaysia,MtCO2e,317.49,302.83,324.37,334.48,345.52,338.92
Vietnam,MtCO2e,211.55,217.97,273.1,324,336.4,351.11
Italy,MtCO2e,320.53,316.37,312.06,304.42,290.981687,243.205549
Thailand,MtCO2e,274.66,271.86,270.09,280.13,295.580361,297.513402
Poland,MtCO2e,266.93,279.96,279,262.22,275.48712,264.74022
Egypt,MtCO2e,231.41,242.41,248.1,249.55,258.715327,269.626008
France,MtCO2e,251.94,255.85,245.07,238.53,233.69,219.43
Spain,MtCO2e,233.15,249.57,243.16,226.09,182.102353,131.744706
Kazakhstan,MtCO2e,199.17,211.6,213.62,209.12,245.962907,214.91788
Argentina,MtCO2e,212.87,209.03,206.6,197.8,194.518126,181.750119
Pakistan,MtCO2e,188.11,205.82,194.31,197.57,193.48,196.45
United Arab Emirates,MtCO2e,201.08,197.04,177.12,188.86,213.08,214.05
Iraq,MtCO2e,142.73,155.58,163.65,175.05,177.404885,193.529076
Algeria,MtCO2e,155.1,158.53,165.74,171.45,181.881528,191.977446
Colombia,MtCO2e,165.65,157.96,161.56,164.01,164.62,166.85
Ukraine,MtCO2e,189.5,162.76,173.43,162.54,146.579969,88.197459
Nigeria,MtCO2e,156.83,154.49,155.88,161.27,172.611026,168.25932
Venezuela,MtCO2e,193.89,183.79,175.26,155.47,164.19,165.66
