Country/Region,unit,2016,2017,2018,2019,2020,2021
China,tCO2e per capita,6.65,6.77,7.02,7.14,9968.894962,10241.31266
United States,tCO2e per capita,14.43,14.11,14.51,13.97,4698.5484,4880.304618
India,tCO2e per capita,1.63,1.71,1.79,1.77,2509.67,2650.19
Indonesia,tCO2e per capita,4.04,4.03,4.72,5.45,1369.559905,1987.130274
Russia,tCO2e per capita,7.01,7.17,7.63,7.93,1215.497059,1180.324118
Japan,tCO2e per capita,8.94,8.85,8.55,8.29,982.56,925.19
Brazil,tCO2e per capita,4.03,4.05,3.91,3.88,839.732673,858.008874
Iran,tCO2e per capita,7.63,7.77,7.79,7.6,638.590844,653.656829
Germany,tCO2e per capita,8.72,8.5,8.18,7.56,633.8,578.91
Canada,tCO2e per capita,16.39,16.51,16.6,16.37,559.064118,494.678235
Democratic Republic of the Congo,tCO2e per capita,7.66,7.42,7.19,6.97,604.749999,604.749998
South Korea,tCO2e per capita,11.13,11.31,11.34,10.91,576.22,587.94
Saudi Arabia,tCO2e per capita,17.3,16.47,15.47,15.28,546.372647,553.792859
Mexico,tCO2e per capita,3.95,3.9,3.7,3.63,477.358631,492.040793
South Africa,tCO2e per capita,7.68,7.76,7.63,7.62,457.971636,469.153781
Australia,tCO2e per capita,16.01,15.91,15.58,15.32,376.956741,382.676712
Türkiye,tCO2e per capita,4.33,4.77,4.65,4.41,352.467451,353.097451
United Kingdom,tCO2e per capita,5.64,5.39,5.26,5.06,344.187344,311.242742
Malaysia,tCO2e per capita,10.35,9.74,10.29,10.47,345.52,338.92
Vietnam,tCO2e per capita,2.26,2.3,2.86,3.36,336.4,351.11
Italy,tCO2e per capita,5.29,5.23,5.16,5.1,290.981687,243.205549
Thailand,tCO2e per capita,3.98,3.93,3.89,4.02,295.580361,297.513402
Poland,tCO2e per capita,7.03,7.37,7.35,6.91,275.48712,264.74022
Egypt,tCO2e per capita,2.45,2.51,2.52,2.49,258.715327,269.626008
France,tCO2e per capita,3.78,3.82,3.65,3.55,233.69,219.43
Spain,tCO2e per capita,5.02,5.36,5.2,4.8,182.102353,131.744706
Kazakhstan,tCO2e per capita,11.19,11.73,11.69,11.3,245.962907,214.91788
Argentina,tCO2e per capita,4.88,4.75,4.64,4.4,194.518126,181.750119
Pakistan,tCO2e per capita,0.92,0.99,0.92,0.91,193.48,196.45
United Arab Emirates,tCO2e per capita,21.48,20.77,18.39,19.33,213.08,214.05
Iraq,tCO2e per capita,3.9,4.14,4.26,4.45,177.404885,193.529076
Algeria,tCO2e per capita,3.82,3.83,3.92,3.98,181.881528,191.977446
Colombia,tCO2e per capita,3.44,3.23,3.25,3.26,164.62,166.85
Ukraine,tCO2e per capita,4.21,3.63,3.89,3.66,146.579969,88.197459
Nigeria,tCO2e per capita,0.84,0.81,0.8,0.8,172.611026,168.25932
Venezuela,tCO2e per capita,6.5,6.25,6.07,5.45,164.19,165.66
Philippines,tCO2e per capita,1.2,1.29,1.32,1.37,151.33771,156.084791
Netherlands,tCO2e per capita,9.39,9.17,8.86,8.52,146.210588,139.311176
Peru,tCO2e per capita,4.74,4.58,4.51,4.51,149.03252,149.051325
Myanmar,tCO2e per capita,2.37,2.52,2.56,2.58,138.096868,137.873296
Uzbekistan,tCO2e per capita,3.2,3.28,3.31,3.38,115.467121,105.05189
Bangladesh,tCO2e per capita,0.61,0.63,0.65,0.69,116.692181,122.527174
Zimbabwe,tCO2e per capita,7,6.85,6.89,6.75,96.76,96.91
Belgium,tCO2e per capita,8.33,8.17,8.21,8.11,97.436109,93.543914
Kuwait,tCO2e per capita,23.14,22.37,22.09,22.02,95.757033,99.043659
Qatar,tCO2e per capita,32.75,32.13,31.07,32.47,94.992394,95.953382
Czech Republic,tCO2e per capita,9.08,9.06,8.94,8.48,81.775112,74.635112
Bolivia,tCO2e per capita,8.1,8.05,7.98,7.79,93.227059,96.614118
Tanzania,tCO2e per capita,1.42,1.39,1.35,1.32,77.689412,78.518824
Oman,tCO2e per capita,16.11,15.42,15.66,15.29,76.216558,77.242342
Turkmenistan,tCO2e per capita,12.95,12.7,12.49,12.26,73.66,66.77
Morocco,tCO2e per capita,1.66,1.73,1.75,1.91,71.82,71.94
Ecuador,tCO2e per capita,4,3.85,3.88,3.77,66.49,69.3
Israel,tCO2e per capita,7.61,7.54,6.89,6.93,61.396465,59.984897
Greece,tCO2e per capita,6.33,6.34,6.19,5.73,53.793529,44.437059
Angola,tCO2e per capita,2.27,2.01,1.93,1.91,62.692896,65.677576
Mozambique,tCO2e per capita,2.16,2.1,2.03,1.99,60.33,60.58
North Korea,tCO2e per capita,1.32,2.26,2.11,2.31,66.53,49.06
Austria,tCO2e per capita,6.47,6.68,6.33,6.49,59.104437,53.65993
Libya,tCO2e per capita,7.85,8.38,8.48,8.38,58.698968,61.828968
Paraguay,tCO2e per capita,7.84,7.87,7.83,7.69,54.79,55.03
Romania,tCO2e per capita,2.47,2.62,2.69,2.64,49.75,35.04
Ethiopia,tCO2e per capita,0.45,0.45,0.45,0.45,50.63,50.75
Papua New Guinea,tCO2e per capita,5.86,5.74,5.64,5.54,46.979399,46.7437
Botswana,tCO2e per capita,22.21,22.07,21.58,21.09,48.66,48.44
Hungary,tCO2e per capita,4.7,4.94,4.94,4.94,48.109363,43.219635
Finland,tCO2e per capita,9.52,9.03,9.34,8.63,39.24,36.81
Singapore,tCO2e per capita,8.23,8.76,8.41,8.31,48.233154,47.985618
Serbia,tCO2e per capita,6.59,6.73,6.59,6.6,36.536071,26.868091
Solomon Islands,tCO2e per capita,73.89,71.95,70.1,68.33,45.76,45.76
Cambodia,tCO2e per capita,2.54,2.6,2.68,2.74,45.58,46.27
Portugal,tCO2e per capita,4.75,5.21,4.84,4.37,40.727647,37.945294
Cameroon,tCO2e per capita,1.79,1.75,1.72,1.67,43.282867,43.456893
Sudan,tCO2e per capita,1.06,1.03,1,0.97,42.155451,42.530714
Zambia,tCO2e per capita,2.33,2.35,2.33,2.21,39.76,40.04
Côte d'Ivoire,tCO2e per capita,1.52,1.52,1.47,1.46,38.19013,39.158462
Belarus,tCO2e per capita,3.57,3.65,3.97,3.84,39.066344,35.96946
Switzerland,tCO2e per capita,4.47,4.31,4.14,4.1,36.57,35.27
Azerbaijan,tCO2e per capita,3.11,3.05,3.1,3.35,36.41,31.46
Chile,tCO2e per capita,1.57,1.58,1.53,1.77,36.92,34.38
Bahrain,tCO2e per capita,21.25,20.42,19.63,20.26,35.01,34.96
Ireland,tCO2e per capita,7.58,7.28,7.16,6.68,32.653643,31.989281
Denmark,tCO2e per capita,6.32,5.9,5.87,5.25,27.945308,25.745308
Slovakia,tCO2e per capita,5.6,5.98,5.86,5.5,29.91,26.73
Burkina Faso,tCO2e per capita,1.49,1.48,1.46,1.43,29.4,29.43
Lebanon,tCO2e per capita,4.13,4.29,4.04,4.06,29.633549,32.0612
Laos,tCO2e per capita,3.56,3.99,3.97,3.82,27.422942,27.912942
Mongolia,tCO2e per capita,6.96,7.28,7.77,8.11,26.844706,28.259412
Tunisia,tCO2e per capita,2.28,2.29,2.26,2.23,26.62,26.67
Syria,tCO2e per capita,1.51,1.72,1.62,1.51,25.838311,22.543532
Sri Lanka,tCO2e per capita,1.12,1.18,1.09,1.18,24.9,24.38
Dominican Republic,tCO2e per capita,2.22,2.09,2.23,2.39,26.464598,27.958652
Chad,tCO2e per capita,1.75,1.7,1.65,1.6,25.648284,26.115125
Nicaragua,tCO2e per capita,3.95,3.91,3.81,3.78,24.55,24.44
Jordan,tCO2e per capita,2.6,2.67,2.49,2.44,23.55,24.2
New Zealand,tCO2e per capita,4.36,4.64,4.44,4.7,24.434518,25.442989
Cuba,tCO2e per capita,2.13,2.05,2.09,2.02,20.042259,19.006758
Guatemala,tCO2e per capita,1.31,1.23,1.32,1.36,21.41,22.02
Uganda,tCO2e per capita,0.52,0.51,0.51,0.49,21.922941,22.425882
Bosnia and Herzegovina,tCO2e per capita,6.09,6.25,6.28,5.86,21.21,21.03
Sweden,tCO2e per capita,2.23,2.16,1.94,1.82,23.70686,17.642097
Somalia,tCO2e per capita,1.27,1.23,1.2,1.17,18.037558,18.033358
Benin,tCO2e per capita,1.6,1.57,1.58,1.53,18.59116,18.870295
Panama,tCO2e per capita,3.76,3.54,3.46,4.18,17.56,18.96
Republic of Congo,tCO2e per capita,3.19,3.1,3.23,3.29,18.735012,19.510298
Trinidad and Tobago,tCO2e per capita,13.38,13.27,12.88,12.41,17.608476,16.628476
Norway,tCO2e per capita,3.78,3.56,3.52,3.18,16.14,16.71
Guyana,tCO2e per capita,21.47,21.35,21.39,21.62,17.225901,17.443838
Nepal,tCO2e per capita,0.49,0.56,0.65,0.57,17.77,19.73
Guinea,tCO2e per capita,1.28,1.29,1.29,1.27,16.265952,16.400033
Honduras,tCO2e per capita,1.62,1.57,1.62,1.62,15.784564,15.622498
Senegal,tCO2e per capita,0.96,0.92,0.91,0.92,15.127191,15.404298
Namibia,tCO2e per capita,6.23,6.17,6.04,5.92,15.11,15.18
Kenya,tCO2e per capita,0.23,0.23,0.19,0.28,15.2,17
Liberia,tCO2e per capita,3.24,3.13,3.02,2.96,14.52,14.52
Madagascar,tCO2e per capita,0.53,0.53,0.51,0.53,14.180419,14.259791
Central African Republic,tCO2e per capita,3.13,3.09,3.05,3,14.16,14.16
Slovenia,tCO2e per capita,6.9,7,6.95,6.68,15.220261,11.47109
Croatia,tCO2e per capita,3,3.17,2.96,3,11.03,9.61
Estonia,tCO2e per capita,13.62,14.15,13.07,9.14,10.55,7.21
Suriname,tCO2e per capita,21.8,20.78,20.08,20.66,12.014921,11.969843
Gabon,tCO2e per capita,6.41,5.71,5.47,5.39,12.257382,12.045248
Lithuania,tCO2e per capita,3.69,3.75,3.93,3.97,10.95,9.56
Yemen,tCO2e per capita,0.4,0.36,0.34,0.38,12.05,14.4
South Sudan,tCO2e per capita,0.99,0.96,0.95,0.96,10.67,10.73
Georgia,tCO2e per capita,2.59,2.61,2.57,2.72,9.32,10.11
Malawi,tCO2e per capita,0.54,0.53,0.53,0.52,9.74,9.75
Tajikistan,tCO2e per capita,0.69,0.82,0.94,1,8.698196,7.223108
Luxembourg,tCO2e per capita,14.73,14.62,14.87,14.86,9.515956,8.935956
Equatorial Guinea,tCO2e per capita,8.63,7.63,7.84,6.77,8.721307,8.401739
Moldova,tCO2e per capita,2.94,2.97,3.19,3.36,9.133324,8.77025
El Salvador,tCO2e per capita,1.3,1.17,1.23,1.38,7.960587,7.531174
Jamaica,tCO2e per capita,2.67,2.53,3,2.91,6.17,4.43
Macedonia,tCO2e per capita,3.52,3.75,3.52,4,9.081882,8.312992
Brunei,tCO2e per capita,17.5,17.94,18.34,16.9,7.584601,7.877563
Cyprus,tCO2e per capita,5.96,6.03,5.84,5.79,7.041879,6.84837
Kyrgyzstan,tCO2e per capita,1.06,0.99,1.26,1.05,6.464866,4.933425
Afghanistan,tCO2e per capita,0.15,0.14,0.17,0.16,7.66487,8.773595
Armenia,tCO2e per capita,1.74,1.84,1.95,2.1,6.442362,5.262362
Belize,tCO2e per capita,15.95,15.64,15.32,15.06,5.84,6.82
Mali,tCO2e per capita,0.26,0.28,0.29,0.3,5.84,6.27
Bulgaria,tCO2e per capita,1.09,1.42,1.01,0.77,2.77,-4.36
Latvia,tCO2e per capita,2.23,2.23,2.6,2.5,6.785642,8.295288
Uruguay,tCO2e per capita,1.39,1.26,1.38,1.36,6.62,6.53
Albania,tCO2e per capita,1.47,1.71,1.7,1.61,4.432008,4.562008
Sierra Leone,tCO2e per capita,0.58,0.57,0.55,0.54,4.23017,4.23017
Burundi,tCO2e per capita,0.38,0.37,0.37,0.36,4.2,4.19
Mauritius,tCO2e per capita,3.17,3.28,3.25,3.28,4.22,4.18
Haiti,tCO2e per capita,0.37,0.36,0.35,0.35,3.94,3.9
Niger,tCO2e per capita,0.16,0.15,0.14,0.15,3.44,3.66
Togo,tCO2e per capita,0.41,0.37,0.4,0.39,3.537506,3.077551
Rwanda,tCO2e per capita,0.24,0.24,0.24,0.24,2.97,3
Mauritania,tCO2e per capita,0.52,0.56,0.59,0.63,2.839498,3.289498
Bahamas,tCO2e per capita,5.41,5.7,7.27,7.28,2.853554,10.857152
Montenegro,tCO2e per capita,3.5,3.69,4.06,4.23,3.725882,3.291765
Maldives,tCO2e per capita,3.69,3.74,4.08,3.97,2.194429,2.247999
Guinea-Bissau,tCO2e per capita,1.01,0.98,0.96,0.95,1.820519,1.848966
Malta,tCO2e per capita,2.96,3.24,3.19,3.28,1.65,1.44
Iceland,tCO2e per capita,4.62,4.63,4.58,4.31,1.35,1.27
Eritrea,tCO2e per capita,0,0,0,0,1.263584,1.299736
Barbados,tCO2e per capita,4.5,4.1,4.3,4.35,1.543872,4.383921
Gambia,tCO2e per capita,0.49,0.48,0.47,0.47,1.13,1.19
Timor-Leste,tCO2e per capita,0.87,0.87,0.85,0.83,1.08,1.11
Costa Rica,tCO2e per capita,0.16,0.19,0.21,0.19,0.663749,0.628224
Eswatini,tCO2e per capita,0.64,0.67,0.69,0.73,0.690622,0.811784
Lesotho,tCO2e per capita,0.33,0.33,0.35,0.36,0.798506,0.844609
Seychelles,tCO2e per capita,6.08,6.05,6.01,6.27,0.63,0.66
Cape Verde,tCO2e per capita,0.91,0.98,1.01,1.06,0.59,0.63
Antigua and Barbuda,tCO2e per capita,5.3,5.25,5.29,5.31,0.531581,0.5447
Andorra,tCO2e per capita,6.07,6.04,6.42,6.51,0.515923,0.530829
Djibouti,tCO2e per capita,0.45,0.44,0.42,0.43,0.407028,0.431586
Samoa,tCO2e per capita,2.07,2.12,2.05,2.04,0.37,0.37
Saint Lucia,tCO2e per capita,2,2.13,2.1,2.13,0.416724,1.27526
Comoros,tCO2e per capita,0.35,0.42,0.44,0.45,0.404158,0.43285
Sao Tome and Principe,tCO2e per capita,1.7,1.69,1.67,1.68,0.37,0.37
Grenada,tCO2e per capita,2.52,2.6,2.88,2.9,0.336358,0.350135
Saint Vincent and the Grenadines,tCO2e per capita,2.34,2.05,2.29,2.32,0.239298,0.883731
Palau,tCO2e per capita,14.06,14.38,14.01,13.98,0.22,0.21
Saint Kitts and Nevis,tCO2e per capita,4.75,4.68,4.69,4.71,0.253501,0.266093
Vanuatu,tCO2e per capita,0.65,0.59,0.72,0.7,0.266442,0.263625
Marshall Islands,tCO2e per capita,3.04,3.09,3.06,3.05,0.17,0.18
Tonga,tCO2e per capita,1.5,1.8,1.57,1.56,0.154307,0.164307
Dominica,tCO2e per capita,2.37,2.13,2.12,2.14,0.123798,0.144477
Liechtenstein,tCO2e per capita,3.97,4.11,3.75,3.9,0.15597,0.157015
Micronesia,tCO2e per capita,1.26,1.26,1.24,1.23,0.135302,0.14773
Cook Islands,tCO2e per capita,0,0,0,0,0.089813,0.089813
Kiribati,tCO2e per capita,0.6,0.76,0.75,0.74,0.09,0.09
Nauru,tCO2e per capita,6.03,6.36,5.99,5.96,0.060538,0.066076
Tuvalu,tCO2e per capita,0.79,0.91,0.94,0.93,0,0
Niue,tCO2e per capita,0,0,0,0,2.67E-17,5.60E-24
Bhutan,tCO2e per capita,-0.53,-0.47,-0.35,-0.35,-0.28,-0.26
Fiji,tCO2e per capita,-1.17,-1.01,-1.04,-1.02,-0.887045,-0.904987
Ghana,tCO2e per capita,-0.31,-0.27,-0.21,-0.16,-0.7543,-0.9537
Data source,Climate Watch,,,,,,
Data for,Location: World. Sectors/Subsectors: Total including LUCF. Gases: CO2. Calculation: per Capita. Show data by Countries,,,,,,
