Country/Region,unit,2016,2017,2018,2019,2020,2021
China,tCO2e/ million $ GDP,821.18,767.31,709.1,704.28,9968.894962,10241.31266
United States,tCO2e/ million $ GDP,249.41,235.51,231.09,214.57,4698.5484,4880.304618
India,tCO2e/ million $ GDP,941.69,862.21,894.46,855.37,2509.67,2650.19
Indonesia,tCO2e/ million $ GDP,1132.8,1049.12,1212.19,1318.21,1369.559905,1987.130274
Russia,tCO2e/ million $ GDP,793,657.86,665.23,676.32,1215.497059,1180.324118
Japan,tCO2e/ million $ GDP,226.98,227.78,215.19,204.85,982.56,925.19
Brazil,tCO2e/ million $ GDP,462.98,407.46,426.88,436.99,839.732673,858.008874
Iran,tCO2e/ million $ GDP,1326.04,1287.38,1925.98,2162.49,638.590844,653.656829
Germany,tCO2e/ million $ GDP,206.83,190.4,170.52,161.49,633.8,578.91
Canada,tCO2e/ million $ GDP,387.39,365.75,356.66,353.32,559.064118,494.678235
Democratic Republic of the Congo,tCO2e/ million $ GDP,16259.51,15892.41,12707.92,11676.89,604.749999,604.749998
South Korea,tCO2e/ million $ GDP,380.03,357.67,339.07,342.12,576.22,587.94
Saudi Arabia,tCO2e/ million $ GDP,870.21,791.58,638.34,651.78,546.372647,553.792859
Mexico,tCO2e/ million $ GDP,452.26,419.38,382.04,365.3,477.358631,492.040793
South Africa,tCO2e/ million $ GDP,1334.1,1159.28,1089.06,1150.18,457.971636,469.153781
Australia,tCO2e/ million $ GDP,320.86,294.94,272.49,279.26,376.956741,382.676712
Türkiye,tCO2e/ million $ GDP,397.77,450.81,492.09,483.82,352.467451,353.097451
United Kingdom,tCO2e/ million $ GDP,135.83,131.92,120.58,117.4,344.187344,311.242742
Malaysia,tCO2e/ million $ GDP,1053.89,948.97,904.06,915.68,345.52,338.92
Vietnam,tCO2e/ million $ GDP,822.83,774.73,884.68,980.66,336.4,351.11
Italy,tCO2e/ million $ GDP,170.76,161.27,149.17,151.36,290.981687,243.205549
Thailand,tCO2e/ million $ GDP,664.44,595.71,532.99,514.87,295.580361,297.513402
Poland,tCO2e/ million $ GDP,564.77,531.73,474.96,439.02,275.48712,264.74022
Egypt,tCO2e/ million $ GDP,696.1,1028.31,993.53,823.38,258.715327,269.626008
France,tCO2e/ million $ GDP,101.88,98.59,87.81,87.41,233.69,219.43
Spain,tCO2e/ million $ GDP,189.11,190.14,171.12,162.3,182.102353,131.744706
Kazakhstan,tCO2e/ million $ GDP,1450.84,1268.53,1191.15,1151.14,245.962907,214.91788
Argentina,tCO2e/ million $ GDP,381.81,324.77,393.65,436.81,194.518126,181.750119
Pakistan,tCO2e/ million $ GDP,599.78,606.78,545.62,615.64,193.48,196.45
United Arab Emirates,tCO2e/ million $ GDP,563.18,510.98,419.51,452.66,213.08,214.05
Iraq,tCO2e/ million $ GDP,856.7,831,719.74,749.26,177.404885,193.529076
Algeria,tCO2e/ million $ GDP,969.19,932.01,947.55,998.13,181.881528,191.977446
Colombia,tCO2e/ million $ GDP,585.68,506.47,483.43,507.59,164.62,166.85
Ukraine,tCO2e/ million $ GDP,2029.9,1452.03,1325.02,1056.26,146.579969,88.197459
Nigeria,tCO2e/ million $ GDP,387.56,411.15,392.45,359.88,172.611026,168.25932
Venezuela,tCO2e/ million $ GDP,0,0,0,0,164.19,165.66
Philippines,tCO2e/ million $ GDP,390.5,413.91,406.61,392.44,151.33771,156.084791
Netherlands,tCO2e/ million $ GDP,203.94,188.42,167.08,162.27,146.210588,139.311176
Peru,tCO2e/ million $ GDP,764.22,682.76,648.63,641.8,149.03252,149.051325
Myanmar,tCO2e/ million $ GDP,2085.72,2190.03,2045.55,2028.79,138.096868,137.873296
Uzbekistan,tCO2e/ million $ GDP,1182.6,1710.11,2073.01,1891.94,115.467121,105.05189
Bangladesh,tCO2e/ million $ GDP,362.44,344.15,327.28,320.22,116.692181,122.527174
Zimbabwe,tCO2e/ million $ GDP,4777.92,5544.43,5495,5129.7,96.76,96.91
Belgium,tCO2e/ million $ GDP,198.26,184.74,172.67,174.02,97.436109,93.543914
Kuwait,tCO2e/ million $ GDP,836.65,751.6,661.33,680.23,95.757033,99.043659
Qatar,tCO2e/ million $ GDP,572.85,543.39,471.36,523.02,94.992394,95.953382
Czech Republic,tCO2e/ million $ GDP,488.68,439.17,381.94,358.3,81.775112,74.635112
Bolivia,tCO2e/ million $ GDP,2633.74,2402.85,2249.02,2193.96,93.227059,96.614118
Tanzania,tCO2e/ million $ GDP,1513.1,1424.35,1335.07,1252.16,77.689412,78.518824
Oman,tCO2e/ million $ GDP,960.29,889.79,826.42,863.56,76.216558,77.242342
Turkmenistan,tCO2e/ million $ GDP,2027.61,1928,1792.04,1610.98,73.66,66.77
Morocco,tCO2e/ million $ GDP,565.06,561.47,533.67,580.12,71.82,71.94
Ecuador,tCO2e/ million $ GDP,659.99,620.36,616.28,605.35,66.49,69.3
Israel,tCO2e/ million $ GDP,203.94,184.91,163.68,157.64,61.396465,59.984897
Greece,tCO2e/ million $ GDP,353.34,341.22,313.18,299.23,53.793529,44.437059
Angola,tCO2e/ million $ GDP,1311.43,867.66,765.48,877.3,62.692896,65.677576
Mozambique,tCO2e/ million $ GDP,5035.57,4541.52,4026.54,3919.59,60.33,60.58
North Korea,tCO2e/ million $ GDP,0,0,0,0,66.53,49.06
Austria,tCO2e/ million $ GDP,142.89,140.76,122.9,129.53,59.104437,53.65993
Libya,tCO2e/ million $ GDP,1020.84,821.35,738.37,820.13,58.698968,61.828968
Paraguay,tCO2e/ million $ GDP,1472.72,1385.46,1353.37,1428.63,54.79,55.03
Romania,tCO2e/ million $ GDP,258.89,242.46,216.64,204.35,49.75,35.04
Ethiopia,tCO2e/ million $ GDP,629.45,581.99,580.96,522.06,50.63,50.75
Papua New Guinea,tCO2e/ million $ GDP,2336.77,2129.61,2014.12,1962.81,46.979399,46.7437
Botswana,tCO2e/ million $ GDP,3179.93,3024.72,2875.88,2909.76,48.66,48.44
Hungary,tCO2e/ million $ GDP,358.77,337.69,300.69,295.2,48.109363,43.219635
Finland,tCO2e/ million $ GDP,217.31,194.46,186.87,177.46,39.24,36.81
Singapore,tCO2e/ million $ GDP,144.69,143.28,125.81,126.27,48.233154,47.985618
Serbia,tCO2e/ million $ GDP,1143.57,1069.58,909.17,890.24,36.536071,26.868091
Solomon Islands,tCO2e/ million $ GDP,33200.26,30843.52,29065.46,29150,45.76,45.76
Cambodia,tCO2e/ million $ GDP,2001.92,1879.95,1773.73,1667.92,45.58,46.27
Portugal,tCO2e/ million $ GDP,237.64,242.27,205.52,187.23,40.727647,37.945294
Cameroon,tCO2e/ million $ GDP,1267.43,1189.77,1084.34,1088.62,43.282867,43.456893
Sudan,tCO2e/ million $ GDP,409.29,323.51,1294.78,1287.21,42.155451,42.530714
Zambia,tCO2e/ million $ GDP,1819.66,1531.78,1538.02,1696.39,39.76,40.04
Côte d'Ivoire,tCO2e/ million $ GDP,755.35,721.17,635.02,640.2,38.19013,39.158462
Belarus,tCO2e/ million $ GDP,708.05,631.47,623.56,561.37,39.066344,35.96946
Switzerland,tCO2e/ million $ GDP,53.81,51.75,47.91,48.01,36.57,35.27
Azerbaijan,tCO2e/ million $ GDP,800.77,735.12,654,697.3,36.41,31.46
Chile,tCO2e/ million $ GDP,114.79,105.66,97.31,120.28,36.92,34.38
Bahrain,tCO2e/ million $ GDP,940.03,860.23,814.95,860.31,35.01,34.96
Ireland,tCO2e/ million $ GDP,120.54,104.3,90.55,82.57,32.653643,31.989281
Denmark,tCO2e/ million $ GDP,115.55,102.34,95.25,87.91,27.945308,25.745308
Slovakia,tCO2e/ million $ GDP,339.39,340.83,302.4,285.04,29.91,26.73
Burkina Faso,tCO2e/ million $ GDP,2166.61,2011.24,1810.67,1799.04,29.4,29.43
Lebanon,tCO2e/ million $ GDP,542.22,551.47,504.71,540.01,29.633549,32.0612
Laos,tCO2e/ million $ GDP,1531.58,1624,1544.89,1460.95,27.422942,27.912942
Mongolia,tCO2e/ million $ GDP,1903.62,1974.2,1869.98,1842.22,26.844706,28.259412
Tunisia,tCO2e/ million $ GDP,582.07,620.71,611.47,625.36,26.62,26.67
Syria,tCO2e/ million $ GDP,2115.6,1795.8,1277.38,0,25.838311,22.543532
Sri Lanka,tCO2e/ million $ GDP,289.41,289.07,268.32,306.23,24.9,24.38
Dominican Republic,tCO2e/ million $ GDP,304.29,274.93,277.61,288.68,26.464598,27.958652
Chad,tCO2e/ million $ GDP,2529.33,2547.84,2271,2260.82,25.648284,26.115125
Nicaragua,tCO2e/ million $ GDP,1873.52,1812.53,1890.64,1964.66,24.55,24.44
Jordan,tCO2e/ million $ GDP,622.27,631.6,577.12,553.39,23.55,24.2
New Zealand,tCO2e/ million $ GDP,108.94,107.99,102.58,109.61,24.434518,25.442989
Cuba,tCO2e/ million $ GDP,264.04,239.47,236.5,221.04,20.042259,19.006758
Guatemala,tCO2e/ million $ GDP,314.29,276.94,294.88,293.21,21.41,22.02
Uganda,tCO2e/ million $ GDP,711.46,683.07,658.45,613.24,21.922941,22.425882
Bosnia and Herzegovina,tCO2e/ million $ GDP,1218.23,1158.27,1034.05,956.93,21.21,21.03
Sweden,tCO2e/ million $ GDP,42.92,40.15,35.46,35,23.70686,17.642097
Somalia,tCO2e/ million $ GDP,3256.94,3211.04,3078.51,2786.28,18.037558,18.033358
Benin,tCO2e/ million $ GDP,1476.12,1384.43,1271.48,1251.46,18.59116,18.870295
Panama,tCO2e/ million $ GDP,261.9,233.52,222.63,264.86,17.56,18.96
Republic of Congo,tCO2e/ million $ GDP,1556.6,1428.63,1240.38,1390.25,18.735012,19.510298
Trinidad and Tobago,tCO2e/ million $ GDP,824.03,792.6,751.65,724.79,17.608476,16.628476
Norway,tCO2e/ million $ GDP,53.71,47.11,42.73,42.04,16.14,16.71
Guyana,tCO2e/ million $ GDP,3693.8,3485.63,3481,3271.29,17.225901,17.443838
Nepal,tCO2e/ million $ GDP,545.22,532.53,547.72,479.53,17.77,19.73
Guinea,tCO2e/ million $ GDP,1749.39,1507,1347.76,1203.8,16.265952,16.400033
Honduras,tCO2e/ million $ GDP,690.21,639.18,647.05,627.5,15.784564,15.622498
Senegal,tCO2e/ million $ GDP,759.57,672.99,627.52,638.76,15.127191,15.404298
Namibia,tCO2e/ million $ GDP,1369.85,1149.82,1080.66,1178.06,15.11,15.18
Kenya,tCO2e/ million $ GDP,153.6,138.51,107.07,146.05,15.2,17
Liberia,tCO2e/ million $ GDP,4369.91,4340.26,4255.34,4403.87,14.52,14.52
Madagascar,tCO2e/ million $ GDP,1121.9,1030.98,989.2,1003.23,14.180419,14.259791
Central African Republic,tCO2e/ million $ GDP,7773.58,6854.65,6399.15,6403.76,14.16,14.16
Slovenia,tCO2e/ million $ GDP,318.27,297.78,266.18,257.37,15.220261,11.47109
Croatia,tCO2e/ million $ GDP,239.65,232.39,194.21,195.66,11.03,9.61
Estonia,tCO2e/ million $ GDP,744.65,692.36,566.62,390.62,10.55,7.21
Suriname,tCO2e/ million $ GDP,3712.16,3300.9,2894.21,3013.91,12.014921,11.969843
Gabon,tCO2e/ million $ GDP,917.82,789.6,686.95,693.96,12.257382,12.045248
Lithuania,tCO2e/ million $ GDP,245.94,221.91,205.06,202.93,10.95,9.56
Yemen,tCO2e/ million $ GDP,346.52,373.06,449.86,506.91,12.05,14.4
South Sudan,tCO2e/ million $ GDP,0,0,0,0,10.67,10.73
Georgia,tCO2e/ million $ GDP,637.44,598.77,543.77,578.88,9.32,10.11
Malawi,tCO2e/ million $ GDP,1705.74,1043.55,964.19,870.41,9.74,9.75
Tajikistan,tCO2e/ million $ GDP,853.16,960.53,1100.89,1119.04,8.698196,7.223108
Luxembourg,tCO2e/ million $ GDP,137.84,132.7,126.82,131.23,9.515956,8.935956
Equatorial Guinea,tCO2e/ million $ GDP,933.02,789.14,783.5,808.21,8.721307,8.401739
Moldova,tCO2e/ million $ GDP,1022.04,844.94,754.65,748.94,9.133324,8.77025
El Salvador,tCO2e/ million $ GDP,341.14,298.84,303.28,330.11,7.960587,7.531174
Jamaica,tCO2e/ million $ GDP,550.79,499.58,558.82,541.6,6.17,4.43
Macedonia,tCO2e/ million $ GDP,683.64,688.76,575.76,658.61,9.081882,8.312992
Brunei,tCO2e/ million $ GDP,644.2,627.75,579.91,543.61,7.584601,7.877563
Cyprus,tCO2e/ million $ GDP,332.67,310.99,272.3,269.6,7.041879,6.84837
Kyrgyzstan,tCO2e/ million $ GDP,944.35,800,964.91,764.27,6.464866,4.933425
Afghanistan,tCO2e/ million $ GDP,301.28,263.29,344.62,331.39,7.66487,8.773595
Armenia,tCO2e/ million $ GDP,483.85,469.09,461.41,455.65,6.442362,5.262362
Belize,tCO2e/ million $ GDP,3270.81,3186.43,3109.66,3021.51,5.84,6.82
